Country Code,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,9000R,9012R,0010R,1012R
HIC,10.1_ENERGY.SAVINGS,0,-900062.6302,214518.6983,-21485884.94,-1014671.713,336888.7619,1152318.468,5082633.269,7639297.356,10460349.15,14505068.95,16805037.13,19115451.57,19401634.52,24722950.25,29771708.57,34042277.03,37900849.76,39232897.97,35046855.1,34680829.77,40357954.47,45815448.84,,,,
HIC,9.1_FINAL.PRIMARY.RATIO,68.35381795,68.26297753,67.68146021,67.53171363,67.55508728,67.67933943,68.0020095,68.02036862,67.67727856,68.13917879,68.28437347,68.13809591,68.06819671,68.41470202,67.9920067,67.8812281,67.76997819,67.83729368,67.67102761,67.82609598,67.75282512,,,,,,
HIC,6.1.2_GDP.PPP,3.07E+13,3.09E+13,3.11E+13,3.14E+13,3.21E+13,3.29E+13,3.37E+13,3.49E+13,3.57E+13,3.70E+13,3.86E+13,3.92E+13,3.99E+13,4.10E+13,4.25E+13,4.38E+13,4.54E+13,4.69E+13,4.73E+13,4.56E+13,4.70E+13,4.81E+13,4.89E+13,,,,
HIC,3.1.7_GEOTHERMAL.CONSUM,140074.0135,144309.1413,150099.9895,154762.6686,154279.6795,155218.903,161511.8449,161791.9395,165324.3346,175511.7522,175977.2652,180702.4462,186248.6368,197745.9208,198437.419,207541.5965,214322.9684,218280.138,189583.543,197563.498,199466.2673,204016.6627,212432.3277,,,,
HIC,2.1.7_SHARE.GEOTHERMAL,0.099828334,0.102367625,0.107779263,0.109999093,0.110392364,0.110149804,0.112488289,0.112927589,0.115526749,0.119661245,0.116660043,0.119891834,0.123679868,0.129082557,0.128137222,0.134095908,0.138057323,0.13958976,0.122026619,0.132845844,0.128378303,0.13298041,0.1388739,,,,
HIC,3.1.3_HYDRO.CONSUM,3963937.241,4112068.361,4013155.852,4200150.95,4079640.406,4297539.812,4395215.969,4409826.981,4303857.669,4269127.174,4318246.652,4167709.114,4244222.353,4280770.132,4358184.45,4315733.688,4406355.478,4325740.073,4401924.927,4406918.178,4467431.181,4491230.375,4374276.434,,,,
HIC,2.1.3_SHARE.HYDRO,2.825029709,2.916950855,2.881645634,2.985298703,2.919121614,3.049713403,3.061139723,3.077972438,3.007486374,2.910626027,2.862681378,2.76517723,2.818409138,2.794357289,2.814215438,2.788463788,2.838378199,2.76630309,2.833326171,2.963304318,2.875279331,2.92743567,2.859606323,,,,
HIC,3.1.4_BIOFUELS.CONSUM,292.78,292.78,953.92,94623.39,109790.5866,120337.5061,93157.10404,119185.7747,133191.7685,140262.4012,169205.8278,181649.4685,224149.7837,305314.0243,392471.4266,498018.6094,743896.2099,985144.8601,1295946.534,1504847.685,1679543.313,1773661.318,1860274.188,,,,
HIC,2.1.4_SHARE.BIOFUELS,0.000208659,0.000207687,0.000684962,0.067254507,0.078558903,0.085396511,0.064881206,0.083189325,0.09307288,0.095628773,0.112171076,0.120520161,0.148848422,0.199299762,0.253431024,0.3217777,0.479184849,0.629998388,0.834143992,1.011891181,1.080969349,1.156092869,1.216121549,,,,
HIC,3.1.10_MARINE.CONSUM,1393.211893,1420.268605,1430.733789,1356.055548,1376.343048,1368.961294,1326.652278,1395.106581,1454.981983,1426.663339,1402.59628,1360.63274,1357.684007,1383.99835,1344.074411,1367.508255,1310.848149,1335.185039,1319.203732,1362.821532,1439.557765,1370.550288,1369.299885,,,,
